product_id,rm_id,quantity_required
536,RM008,1.0
536,RM009,1.0
536,RM003,0.1
536,RM001,1.5
536,RM007,0.05
537,RM008,1.0
537,RM009,1.0
537,RM003,0.1
537,RM001,1.5
537,RM007,0.05
538,RM008,1.0
538,RM009,1.0
538,RM003,0.1
538,RM001,1.5
538,RM007,0.05
539,RM008,1.0
539,RM009,1.0
539,RM003,0.1
539,RM001,1.5
539,RM007,0.05
540,RM008,1.0
540,RM009,1.0
540,RM003,0.1
540,RM001,1.5
540,RM007,0.05
541,RM008,1.0
541,RM009,1.0
541,RM003,0.1
541,RM001,1.5
541,RM007,0.05
542,RM008,1.0
542,RM009,1.0
542,RM003,0.1
542,RM001,1.5
542,RM007,0.05
543,RM008,1.0
543,RM009,1.0
543,RM003,0.1
543,RM001,1.5
543,RM007,0.05
544,RM008,1.0
544,RM009,1.0
544,RM003,0.1
544,RM001,1.5
544,RM007,0.05
545,RM008,1.0
545,RM009,1.0
545,RM003,0.1
545,RM001,1.5
545,RM007,0.05
546,RM008,1.0
546,RM009,1.0
546,RM003,0.1
546,RM001,1.5
546,RM007,0.05
547,RM008,1.0
547,RM009,1.0
547,RM003,0.1
547,RM001,1.5
547,RM007,0.05
548,RM008,1.0
548,RM009,1.0
548,RM003,0.1
548,RM001,1.5
548,RM007,0.05
549,RM008,1.0
549,RM009,1.0
549,RM003,0.1
549,RM001,1.5
549,RM007,0.05
550,RM008,1.0
550,RM009,1.0
550,RM003,0.1
550,RM001,1.5
550,RM007,0.05
551,RM008,1.0
551,RM009,1.0
551,RM003,0.1
551,RM001,1.5
551,RM007,0.05
552,RM008,1.0
552,RM009,1.0
552,RM003,0.1
552,RM001,1.5
552,RM007,0.05
553,RM008,1.0
553,RM009,1.0
553,RM003,0.1
553,RM001,1.5
553,RM007,0.05
554,RM008,1.0
554,RM009,1.0
554,RM003,0.1
554,RM001,1.5
554,RM007,0.05
555,RM008,1.0
555,RM009,1.0
555,RM003,0.1
555,RM001,1.5
555,RM007,0.05
556,RM008,1.0
556,RM009,1.0
556,RM003,0.1
556,RM001,1.5
556,RM007,0.05
557,RM008,1.0
557,RM009,1.0
557,RM003,0.1
557,RM001,1.5
557,RM007,0.05
558,RM008,1.0
558,RM009,1.0
558,RM003,0.1
558,RM001,1.5
558,RM007,0.05
559,RM008,1.0
559,RM009,1.0
559,RM003,0.1
559,RM001,1.5
559,RM007,0.05
560,RM008,1.0
560,RM009,1.0
560,RM003,0.1
560,RM001,1.5
560,RM007,0.05
561,RM008,1.0
561,RM009,1.0
561,RM003,0.1
561,RM001,1.5
561,RM007,0.05
562,RM008,1.0
562,RM009,1.0
562,RM003,0.1
562,RM001,1.5
562,RM007,0.05
563,RM008,1.0
563,RM009,1.0
563,RM003,0.1
563,RM001,1.5
563,RM007,0.05
564,RM008,1.0
564,RM009,1.0
564,RM003,0.1
564,RM001,1.5
564,RM007,0.05
565,RM008,1.0
565,RM009,1.0
565,RM003,0.1
565,RM001,1.5
565,RM007,0.05
566,RM008,1.0
566,RM009,1.0
566,RM003,0.1
566,RM001,1.5
566,RM007,0.05
567,RM008,1.0
567,RM009,1.0
567,RM003,0.1
567,RM001,1.5
567,RM007,0.05
568,RM008,1.0
568,RM009,1.0
568,RM003,0.1
568,RM001,1.5
568,RM007,0.05
569,RM008,1.0
569,RM009,1.0
569,RM003,0.1
569,RM001,1.5
569,RM007,0.05
570,RM008,1.0
570,RM009,1.0
570,RM003,0.1
570,RM001,1.5
570,RM007,0.05
571,RM008,1.0
571,RM009,1.0
571,RM003,0.1
571,RM001,1.5
571,RM007,0.05
572,RM008,1.0
572,RM009,1.0
572,RM003,0.1
572,RM001,1.5
572,RM007,0.05
573,RM008,1.0
573,RM009,1.0
573,RM003,0.1
573,RM001,1.5
573,RM007,0.05
574,RM008,1.0
574,RM009,1.0
574,RM003,0.1
574,RM001,1.5
574,RM007,0.05
575,RM008,1.0
575,RM009,1.0
575,RM003,0.1
575,RM001,1.5
575,RM007,0.05
576,RM008,1.0
576,RM009,1.0
576,RM003,0.1
576,RM001,1.5
576,RM007,0.05
577,RM008,1.0
577,RM009,1.0
577,RM003,0.1
577,RM001,1.5
577,RM007,0.05
578,RM008,1.0
578,RM009,1.0
578,RM003,0.1
578,RM001,1.5
578,RM007,0.05
579,RM008,1.0
579,RM009,1.0
579,RM003,0.1
579,RM001,1.5
579,RM007,0.05
580,RM008,1.0
580,RM009,1.0
580,RM003,0.1
580,RM001,1.5
580,RM007,0.05
581,RM008,1.0
581,RM009,1.0
581,RM003,0.1
581,RM001,1.5
581,RM007,0.05
582,RM008,1.0
582,RM009,1.0
582,RM003,0.1
582,RM001,1.5
582,RM007,0.05
583,RM008,1.0
583,RM009,1.0
583,RM003,0.1
583,RM001,1.5
583,RM007,0.05
584,RM008,1.0
584,RM009,1.0
584,RM003,0.1
584,RM001,1.5
584,RM007,0.05
585,RM008,1.0
585,RM009,1.0
585,RM003,0.1
585,RM001,1.5
585,RM007,0.05
586,RM008,1.0
586,RM009,1.0
586,RM003,0.1
586,RM001,1.5
586,RM007,0.05
587,RM008,1.0
587,RM009,1.0
587,RM003,0.1
587,RM001,1.5
587,RM007,0.05
588,RM008,1.0
588,RM009,1.0
588,RM003,0.1
588,RM001,1.5
588,RM007,0.05
589,RM008,1.0
589,RM009,1.0
589,RM003,0.1
589,RM001,1.5
589,RM007,0.05
590,RM008,1.0
590,RM009,1.0
590,RM003,0.1
590,RM001,1.5
590,RM007,0.05
591,RM008,1.0
591,RM009,1.0
591,RM003,0.1
591,RM001,1.5
591,RM007,0.05
592,RM008,1.0
592,RM009,1.0
592,RM003,0.1
592,RM001,1.5
592,RM007,0.05
593,RM008,1.0
593,RM009,1.0
593,RM003,0.1
593,RM001,1.5
593,RM007,0.05
594,RM008,1.0
594,RM009,1.0
594,RM003,0.1
594,RM001,1.5
594,RM007,0.05
595,RM008,1.0
595,RM009,1.0
595,RM003,0.1
595,RM001,1.5
595,RM007,0.05
596,RM008,1.0
596,RM009,1.0
596,RM003,0.1
596,RM001,1.5
596,RM007,0.05
597,RM008,1.0
597,RM009,1.0
597,RM003,0.1
597,RM001,1.5
597,RM007,0.05
598,RM008,1.0
598,RM009,1.0
598,RM003,0.1
598,RM001,1.5
598,RM007,0.05
599,RM008,1.0
599,RM009,1.0
599,RM003,0.1
599,RM001,1.5
599,RM007,0.05
600,RM008,1.0
600,RM009,1.0
600,RM003,0.1
600,RM001,1.5
600,RM007,0.05
601,RM008,1.0
601,RM009,1.0
601,RM003,0.1
601,RM001,1.5
601,RM007,0.05
602,RM008,1.0
602,RM009,1.0
602,RM003,0.1
602,RM001,1.5
602,RM007,0.05
603,RM008,1.0
603,RM009,1.0
603,RM003,0.1
603,RM001,1.5
603,RM007,0.05
604,RM008,1.0
604,RM009,1.0
604,RM003,0.1
604,RM001,1.5
604,RM007,0.05
605,RM008,1.0
605,RM009,1.0
605,RM003,0.1
605,RM001,1.5
605,RM007,0.05
606,RM008,1.0
606,RM009,1.0
606,RM003,0.1
606,RM001,1.5
606,RM007,0.05
607,RM008,1.0
607,RM009,1.0
607,RM003,0.1
607,RM001,1.5
